user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
47949,15,0,0.0,9,9,6,8,8,0,0,15,0,0.0,9,9,6,8,8,0,0,0,1,99999,1,0,0,0.0,0,6,0
75350,5,1,0.0,4,4,3,3,3,1,1,5,1,0.0,4,4,3,3,3,1,1,0,9,13,1,1,1,0.0,1,0,1
59392,5,1,2.0,5,5,4,4,4,1,1,5,1,2.0,5,5,4,4,4,1,1,0,5,5,1,1,1,2.0,1,0,1
52301,4,0,0.0,4,4,3,4,4,0,0,4,0,0.0,4,4,3,4,4,0,0,0,12,99999,1,0,0,0.0,0,0,1
146369,2,0,0.0,1,1,1,1,1,0,0,2,0,0.0,1,1,1,1,1,0,0,0,13,99999,1,0,0,0.0,1,0,1
149086,4,1,31.0,1,1,1,1,1,1,1,4,1,31.0,1,1,1,1,1,1,1,0,12,12,1,1,1,31.0,0,0,1
113561,7,0,0.0,5,5,2,5,5,0,0,7,0,0.0,5,5,2,5,5,0,0,0,5,99999,1,0,0,0.0,1,0,1
70154,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,13,99999,1,0,0,0.0,1,0,1
138065,7,1,1.0,1,1,1,1,1,1,1,7,1,1.0,1,1,1,1,1,1,1,0,12,13,1,1,1,1.0,0,19,0
84691,1,1,13.0,1,1,1,1,1,1,1,1,1,13.0,1,1,1,1,1,1,1,0,13,13,1,1,1,13.0,1,0,1
13037,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,13,99999,1,0,0,0.0,1,0,1
114370,1,1,45.0,1,1,1,1,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,105,105,1,1,1,45.0,1,0,1
67398,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,105,99999,1,0,0,0.0,1,0,1
138418,29,0,0.0,22,21,8,14,13,0,0,2,0,0.0,0,0,0,0,0,0,0,3,30,99999,4,0,0,0.0,0,0,1
63439,4,0,0.0,3,3,3,3,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,1,0,1
148395,19,0,0.0,16,16,5,13,13,0,0,0,0,0.0,0,0,0,0,0,0,0,2,43,99999,3,0,0,0.0,0,0,1
115035,5,0,0.0,4,4,2,4,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,1,0,1
109695,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,1,0,1
73451,12,2,56.0,11,10,5,9,9,2,2,0,0,0.0,0,0,0,0,0,0,0,1,85,94,2,1,2,56.0,1,0,1
26421,4,0,0.0,4,4,3,3,3,0,0,0,0,0.0,0,0,0,0,0,0,0,1,67,99999,2,0,0,0.0,1,0,1
148638,8,0,0.0,7,7,2,5,5,0,0,0,0,0.0,0,0,0,0,0,0,0,2,34,99999,3,0,0,0.0,1,0,1
28749,26,1,7.0,21,20,7,11,11,1,1,0,0,0.0,0,0,0,0,0,0,0,2,45,92,3,1,1,7.0,1,0,1
143667,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,1,0,1
25163,3,0,0.0,3,3,3,3,3,0,0,1,0,0.0,1,1,1,1,1,0,0,3,24,99999,3,0,0,0.0,1,0,1
125333,17,4,140.0,11,11,4,8,8,4,2,0,0,0.0,0,0,0,0,0,0,0,2,37,37,3,2,4,140.0,0,0,1
40688,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,1,0,1
53597,2,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,92,99999,2,0,0,0.0,1,0,1
90016,2,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,0,0,1
132973,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,99999,1,0,0,0.0,1,0,1
15506,7,0,0.0,7,7,4,5,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,93,99999,1,0,0,0.0,1,0,1
85657,3,0,0.0,2,2,2,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,93,99999,1,0,0,0.0,1,0,1
